time=2026-09-26T11:56:53.000-04:00 level=INFO source=client.go:414 msg="starting mlx runner subprocess" model=nemotron-3-nano-mlx:4b-bf16 port=58671
time=2026-09-26T11:56:53.450-04:00 level=INFO source=runner.go:261 msg="Loaded tensors from manifest" count=263
time=2026-09-26T11:56:53.999-04:00 level=INFO source=runner.go:296 msg="Starting HTTP server" host=127.0.0.1 port=58671
time=2026-09-26T11:56:54.004-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=58671
time=2026-09-26T11:56:54.005-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=23 matched=0 cached=0 left=23
time=2026-09-26T11:56:54.199-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3177 matched=5 cached=0 left=3177
time=2026-09-26T11:56:58.432-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-26T11:56:58.756-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=5 left=3173
time=2026-09-26T11:57:03.933-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:04.359-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3207 matched=3188 cached=3188 left=19
time=2026-09-26T11:57:04.818-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3236 matched=3218 cached=3218 left=18
time=2026-09-26T11:57:05.303-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3478 matched=16 cached=5 left=3473
time=2026-09-26T11:57:11.234-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-26T11:57:11.561-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3478 matched=16 cached=16 left=3462
time=2026-09-26T11:57:17.313-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3478 matched=3478 cached=3474 left=4
time=2026-09-26T11:57:17.686-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:18.074-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3178 cached=3174 left=4
time=2026-09-26T11:57:18.480-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3167 left=11
time=2026-09-26T11:57:18.873-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3168 left=10
time=2026-09-26T11:57:19.270-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3168 left=10
time=2026-09-26T11:57:19.667-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3178 cached=3174 left=4
time=2026-09-26T11:57:20.040-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3168 left=10
time=2026-09-26T11:57:20.459-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3168 left=10
time=2026-09-26T11:57:20.848-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3208 matched=3189 cached=3189 left=19
time=2026-09-26T11:57:21.249-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3168 cached=3168 left=10
time=2026-09-26T11:57:21.638-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=16 cached=16 left=3161
time=2026-09-26T11:57:26.518-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=16 left=3161
time=2026-09-26T11:57:31.492-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-26T11:57:31.812-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:32.177-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=16 cached=16 left=3161
time=2026-09-26T11:57:37.146-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3177 cached=3173 left=4
time=2026-09-26T11:57:37.471-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=16 left=3161
time=2026-09-26T11:57:42.488-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3177 matched=3167 cached=3167 left=10
time=2026-09-26T11:57:42.814-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:43.183-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:43.572-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-26T11:57:43.971-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3209 matched=3189 cached=3189 left=20
