time=2026-09-24T00:12:42.980-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=52501
time=2026-09-24T00:12:42.980-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=24 matched=0 cached=0 left=24
time=2026-09-24T00:12:43.720-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3178 matched=5 cached=0 left=3178
time=2026-09-24T00:13:18.222-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3178 cached=3174 left=4
time=2026-09-24T00:13:19.135-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=5 left=3174
time=2026-09-24T00:13:54.593-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:13:55.856-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3205 matched=3175 cached=3175 left=30
time=2026-09-24T00:13:57.207-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3231 matched=3201 cached=3201 left=30
time=2026-09-24T00:13:58.551-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=16 cached=5 left=3173
time=2026-09-24T00:14:33.993-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3178 cached=3174 left=4
time=2026-09-24T00:14:34.942-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=16 cached=16 left=3463
time=2026-09-24T00:15:13.714-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=3479 cached=3475 left=4
time=2026-09-24T00:15:14.746-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:15:16.063-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3179 cached=3175 left=4
time=2026-09-24T00:15:17.138-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3167 left=12
time=2026-09-24T00:15:18.462-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3168 left=11
time=2026-09-24T00:15:19.771-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3168 left=11
time=2026-09-24T00:15:21.091-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3179 cached=3175 left=4
time=2026-09-24T00:15:22.168-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3168 left=11
time=2026-09-24T00:15:23.483-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3168 left=11
time=2026-09-24T00:15:24.789-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3206 matched=3175 cached=3175 left=31
time=2026-09-24T00:15:26.130-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3168 cached=3168 left=11
time=2026-09-24T00:15:27.444-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=16 cached=16 left=3162
time=2026-09-24T00:16:02.514-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=16 left=3162
time=2026-09-24T00:16:37.990-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-24T00:16:39.181-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:16:40.486-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=16 cached=16 left=3162
time=2026-09-24T00:17:16.571-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3178 cached=3174 left=4
time=2026-09-24T00:17:17.543-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=16 left=3162
time=2026-09-24T00:17:52.584-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3167 cached=3167 left=11
time=2026-09-24T00:17:53.744-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:17:54.983-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:17:56.296-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:17:57.591-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3207 matched=3175 cached=3175 left=32
time=2026-09-24T00:17:59.259-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3207 matched=3175 cached=3175 left=32
time=2026-09-24T00:18:00.929-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3239 matched=3203 cached=3203 left=36
time=2026-09-24T00:18:02.901-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3239 matched=3203 cached=3203 left=36
time=2026-09-24T00:18:04.883-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:18:06.184-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:18:07.500-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3179 cached=3175 left=4
time=2026-09-24T00:18:08.573-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
