time=2026-09-24T00:03:49.454-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=52016
time=2026-09-24T00:03:49.455-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=24 matched=0 cached=0 left=24
time=2026-09-24T00:03:50.186-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3960 matched=2 cached=0 left=3960
time=2026-09-24T00:04:39.241-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3959 cached=3955 left=5
time=2026-09-24T00:04:43.126-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=2 left=3959
time=2026-09-24T00:05:30.653-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:05:35.805-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4042 matched=4020 cached=3956 left=86
time=2026-09-24T00:05:40.851-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4122 matched=4101 cached=4101 left=21
time=2026-09-24T00:05:44.104-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=5 cached=2 left=3958
time=2026-09-24T00:06:31.674-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3959 cached=3959 left=1
time=2026-09-24T00:06:36.136-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3962 matched=5 cached=5 left=3957
time=2026-09-24T00:07:23.795-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3962 matched=3961 cached=3957 left=5
time=2026-09-24T00:07:26.156-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:07:31.002-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3960 cached=3956 left=5
time=2026-09-24T00:07:35.441-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3948 left=13
time=2026-09-24T00:07:39.274-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3949 left=12
time=2026-09-24T00:07:44.059-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3949 left=12
time=2026-09-24T00:07:48.251-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3960 cached=3956 left=5
time=2026-09-24T00:07:52.367-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3949 left=12
time=2026-09-24T00:07:57.192-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3949 left=12
time=2026-09-24T00:08:02.231-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4042 matched=4020 cached=3956 left=86
time=2026-09-24T00:08:07.004-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3949 cached=3949 left=12
time=2026-09-24T00:08:11.327-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=5 cached=5 left=3955
time=2026-09-24T00:09:00.788-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3948 cached=5 left=3955
time=2026-09-24T00:09:51.062-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3948 cached=3948 left=12
time=2026-09-24T00:09:56.046-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:10:00.976-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=5 cached=5 left=3955
time=2026-09-24T00:10:49.508-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3959 cached=3955 left=5
time=2026-09-24T00:10:53.627-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3948 cached=5 left=3955
time=2026-09-24T00:11:42.623-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3948 cached=3948 left=12
time=2026-09-24T00:11:47.247-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:11:51.927-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:11:56.439-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:12:01.010-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4043 matched=4020 cached=4020 left=23
time=2026-09-24T00:12:05.627-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4043 matched=4020 cached=4020 left=23
time=2026-09-24T00:12:10.140-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4125 matched=4102 cached=4038 left=87
time=2026-09-24T00:12:15.619-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4125 matched=4102 cached=4102 left=23
time=2026-09-24T00:12:19.821-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:12:24.366-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
time=2026-09-24T00:12:29.160-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3960 cached=3956 left=5
time=2026-09-24T00:12:33.515-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3961 matched=3948 cached=3948 left=13
