time=2026-09-23T21:55:16.383-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=64077
time=2026-09-23T21:55:16.387-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=22 matched=0 cached=0 left=22
time=2026-09-23T21:55:18.182-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3958 matched=4 cached=0 left=3958
time=2026-09-23T21:56:11.229-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3957 cached=3953 left=5
time=2026-09-23T21:56:15.942-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=4 left=3955
time=2026-09-23T21:57:08.936-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T21:57:13.254-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3980 matched=3957 cached=3954 left=26
time=2026-09-23T21:57:17.921-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4000 matched=3978 cached=3975 left=25
time=2026-09-23T21:57:21.986-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3938 cached=4 left=3954
time=2026-09-23T21:58:14.164-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3957 cached=3953 left=5
time=2026-09-23T21:58:18.781-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3938 cached=3938 left=22
time=2026-09-23T21:58:24.204-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3960 matched=3959 cached=3955 left=5
time=2026-09-23T21:58:27.591-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T21:58:32.439-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3958 cached=3954 left=5
time=2026-09-23T21:58:36.706-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3948 left=11
time=2026-09-23T21:58:40.877-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3949 left=10
time=2026-09-23T21:58:45.117-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3949 left=10
time=2026-09-23T21:58:50.053-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3958 cached=3954 left=5
time=2026-09-23T21:58:54.966-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3949 left=10
time=2026-09-23T21:59:00.202-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3949 left=10
time=2026-09-23T21:59:05.428-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3980 matched=3957 cached=3954 left=26
time=2026-09-23T21:59:10.318-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3949 cached=3949 left=10
time=2026-09-23T21:59:15.559-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3938 cached=3938 left=20
time=2026-09-23T21:59:20.710-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3948 cached=3938 left=20
time=2026-09-23T21:59:25.841-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3948 cached=3948 left=10
time=2026-09-23T21:59:30.271-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T21:59:35.204-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3938 cached=3938 left=20
time=2026-09-23T21:59:39.819-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3957 cached=3953 left=5
time=2026-09-23T21:59:44.230-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3948 cached=3938 left=20
time=2026-09-23T21:59:49.024-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3958 matched=3948 cached=3948 left=10
time=2026-09-23T21:59:53.554-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T21:59:58.342-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T22:00:03.725-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T22:00:08.895-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3981 matched=3957 cached=3954 left=27
time=2026-09-23T22:00:14.147-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3981 matched=3957 cached=3954 left=27
time=2026-09-23T22:00:19.090-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4003 matched=3979 cached=3976 left=27
time=2026-09-23T22:00:24.190-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=4003 matched=3979 cached=3976 left=27
time=2026-09-23T22:00:29.666-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T22:00:34.761-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
time=2026-09-23T22:00:39.902-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3958 cached=3954 left=5
time=2026-09-23T22:00:44.928-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3959 matched=3948 cached=3948 left=11
