time=2026-09-24T00:19:09.744-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=52992
time=2026-09-24T00:19:09.745-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=24 matched=0 cached=0 left=24
time=2026-09-24T00:19:10.467-04:00 level=INFO source=prefix_cache.go:125 msg="cache miss" total=3178 matched=4 cached=0 left=3178
time=2026-09-24T00:19:46.918-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-24T00:19:47.788-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=4 left=3175
time=2026-09-24T00:20:24.380-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:20:25.387-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3209 matched=3188 cached=3188 left=21
time=2026-09-24T00:20:26.395-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3239 matched=3219 cached=3219 left=20
time=2026-09-24T00:20:27.475-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=4 left=3174
time=2026-09-24T00:21:03.834-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-24T00:21:04.592-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=15 cached=15 left=3464
time=2026-09-24T00:21:27.192-04:00 level=INFO source=runner.go:276 msg="Request terminated" error="context canceled"
time=2026-09-24T00:21:27.192-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3479 matched=2063 cached=2063 left=1416
time=2026-09-24T00:21:44.324-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:21:45.264-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:21:46.069-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3166 left=13
time=2026-09-24T00:21:47.139-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:21:48.082-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:21:49.076-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:21:49.805-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:21:50.881-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:21:51.851-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3210 matched=3189 cached=3189 left=21
